implementation,ticket_id,run_index,step,latency_ms
openai_structured,T008,5,facts,3063.602624926716
openai_structured,T009,1,classification,954.6356669161469
openai_structured,T009,1,draft,3662.3932919465005
openai_structured,T009,1,facts,3334.730915958062
openai_structured,T009,2,classification,1553.285124944523
openai_structured,T009,2,draft,2741.7699159123003
openai_structured,T009,2,facts,3006.0104590374976
openai_structured,T009,3,classification,1123.6882500816137
openai_structured,T009,3,draft,3479.7701670322567
openai_structured,T009,3,facts,2254.203208955005
openai_structured,T009,4,classification,1027.1276249550283
openai_structured,T009,4,draft,3068.3900001458824
openai_structured,T009,4,facts,2862.886833027005
openai_structured,T009,5,classification,1037.4697500374168
openai_structured,T009,5,draft,3274.62137513794
openai_structured,T009,5,facts,2647.1384579781443
openai_structured,T010,1,classification,1122.4634158425033
openai_structured,T010,1,draft,2323.2834169175476
openai_structured,T010,1,facts,2560.896708862856
openai_structured,T010,2,classification,1026.8098330125213
openai_structured,T010,2,draft,3157.785707851872
openai_structured,T010,2,facts,2789.8130000103265
openai_structured,T010,3,classification,1036.0234580002725
openai_structured,T010,3,draft,3168.6318749561906
openai_structured,T010,3,facts,3283.449999988079
openai_structured,T010,4,classification,1038.7427089735866
openai_structured,T010,4,draft,2532.00158290565
openai_structured,T010,4,facts,2568.7677920795977
openai_structured,T010,5,classification,4250.8947919122875
openai_structured,T010,5,draft,3332.4013750534505
openai_structured,T010,5,facts,2730.14491610229
openai_structured,T011,1,classification,5242.606624960899
openai_structured,T011,1,draft,3270.555750001222
openai_structured,T011,1,facts,3182.187292026356
openai_structured,T011,2,classification,1212.3331669718027
openai_structured,T011,2,draft,2606.8457500077784
openai_structured,T011,2,facts,2569.296000059694
openai_structured,T011,3,classification,984.9302088841796
openai_structured,T011,3,draft,2182.169542182237
openai_structured,T011,3,facts,2238.5919159278274
openai_structured,T011,4,classification,1123.922040918842
openai_structured,T011,4,draft,6149.5909579098225
openai_structured,T011,4,facts,3341.6572499554604
openai_structured,T011,5,classification,1217.9344589821994
openai_structured,T011,5,draft,3070.444416021928
openai_structured,T011,5,facts,2560.3768748696893
openai_structured,T012,1,classification,1018.5663339216262
openai_structured,T012,1,draft,2230.262542143464
openai_structured,T012,1,facts,2497.3932078573853
openai_structured,T012,2,classification,833.5734577849507
openai_structured,T012,2,draft,2571.5969998855144
openai_structured,T012,2,facts,2007.7269999310374
